country,value
AD,0
AE,753708
AF,1171113
AG,75963
AI,61063
AL,2885246
AM,18763
AN,144
AO,276817255
AR,470225
AT,1330772
AU,856784820
AW,0
AX,580
AZ,1660905
BA,11041754
BB,2112293
BD,51675358
BE,5406961
BF,3654294
BG,12682826
BH,30100153
BI,24881194
BJ,6899683
BM,80
BN,7934
BO,56749
BQ,304604
BR,32626543
BS,1853026
BT,16093
BW,2831495526
BY,714319
BZ,2029489
CA,523821746
CD,2208948690
CF,4413
CG,110691663
CH,19854415
CI,4299
CK,3000
CL,6741947
CM,1102963
CN,609052017
CO,642250
CR,58757793
CU,799
CV,467823
CW,594999
CY,74649
CZ,643797
DE,67713571
DJ,0
DK,195497
DM,41239
DO,601329
DZ,44260
EC,973879
EE,135602
EG,58977
ER,0
ES,1384849
ET,5268
FI,1543594
FJ,260498
FM,2555
FO,16072
FR,5714770
GA,2026
GB,56215941
GD,303314
GE,65983
GF,13050
GG,10978
GH,52209518
GI,4059
GL,3992
GM,418913
GN,114012
GP,9980
GQ,776256120
GR,457771
GT,71641
GU,212437
GW,33135
GY,1368643
HK,34362092
HN,945778
HR,10569902
HT,132874
HU,102845
ID,104874495
IE,104858582
IL,24850832
IM,15956
IN,8494144
IQ,234499
IR,2003117
IS,60874
IT,3785385
JE,0
JM,6371838
JO,642773
JP,32802761
KE,9002587354
KG,170217
KH,7987125
KI,1759
KM,228
KN,443863
KP,140
KR,37110297
KW,67051
KY,712066
KZ,1689449
LA,1013904
LB,71266
LC,97522
LI,91194
LK,876224
LR,1346523
LS,232885822
LT,5587672
LU,16789502
LV,292404
LY,9880
MA,586774
MC,10359
MD,3777276
ME,3464986
MF,194
MG,6714488
MK,24422
ML,18376
MM,5327674
MN,21996
MO,25990
MP,8153
MQ,9980
MR,1064
MT,17146
MU,5661659622
MV,4706609
MW,103391881
MX,1733086
MY,44412672
MZ,313195144
NA,474525210
NC,471825
NE,6641602
NG,176242334
NI,160280
NL,2113295628
NO,539055
NP,611883
NR,2010
NZ,65470621
OM,11152170
PA,8126673
PE,127605
PF,168287
PG,1345054
PH,171876906
PK,64729225
PL,19815903
PR,1290460
PS,80973
PT,31896399
PY,60916
QA,33183
RE,75629366
RO,1400870
RS,1495262
RU,31454278
RW,61122870
SA,760820
SB,0
SC,25957369
SD,6205
SE,2278801
SG,12108042
SI,16664426
SJ,0
SK,112462
SL,1511639
SM,111
SN,435990
SO,17460058
SR,1034861
SS,45239284
ST,299712027
SV,52967
SX,204773
SY,0
SZ,374563828
TC,6554
TD,867
TG,20240
TH,40463052
TJ,76
TK,346
TL,31738
TM,0
TN,35928
TR,191242
TT,3465187
TW,4699971
TZ,604998187
UA,26608662
UG,523107006
US,10540629938
UY,5536472
UZ,1648101
VC,168927
VE,2264354
VG,216509
VI,67175
VN,2694213
VU,0
WS,16
YE,546501
YT,152
ZA,199410489417
ZM,195662707
ZW,428740511
